id,tag,pax_id,flight,state,state_name,weight_kg,lane,threat_score,flagged,inspected,priority
1,MK116928,1,MK014,4,Loaded,12.1,2,0.0169,0,0,1
2,MK727434,2,MK014,4,Loaded,21.1,3,0.2515,0,0,0
3,MK525963,4,MK014,4,Loaded,24.2,0,0.0905,0,0,0
4,MK822955,6,MK014,4,Loaded,31.7,0,0.0685,0,0,0
5,MK150732,7,MK014,4,Loaded,29.9,1,0.1060,0,0,0
6,MK147673,9,MK014,4,Loaded,14.2,2,0.0073,0,0,0
7,MK277407,10,MK014,4,Loaded,11.6,2,0.3293,0,0,0
8,MK601661,11,MK014,4,Loaded,26.0,0,0.0771,0,0,0
9,MK657291,11,MK014,4,Loaded,6.9,3,0.0195,0,0,0
10,MK982064,14,MK014,4,Loaded,28.9,0,0.0015,0,0,0
11,MK603392,16,MK014,4,Loaded,15.6,1,0.0029,0,0,1
12,MK639416,16,MK014,4,Loaded,11.1,2,0.0205,0,0,1
13,AF373467,17,AF463,4,Loaded,31.2,2,0.1804,0,0,1
14,AF425820,17,AF463,4,Loaded,15.3,2,0.0436,0,0,1
15,AF424015,19,AF463,4,Loaded,27.4,2,0.0193,0,0,0
16,AF944611,19,AF463,4,Loaded,25.7,1,0.1015,0,0,0
17,AF971889,24,AF463,4,Loaded,20.4,1,0.0032,0,0,0
18,AF400623,25,AF463,4,Loaded,16.4,0,0.0826,0,0,0
19,AF642280,27,AF463,4,Loaded,24.8,2,0.1325,0,0,1
20,AF612873,28,AF463,4,Loaded,31.6,3,0.0181,0,0,0
21,AF810132,29,AF463,4,Loaded,10.2,0,0.2634,0,0,1
22,AF975924,29,AF463,4,Loaded,17.2,0,0.1936,0,0,1
23,AF106860,30,AF463,7,Held,10.6,1,0.7441,1,0,0
24,AF293062,31,AF463,4,Loaded,26.8,0,0.0392,0,0,0
25,AF286328,32,AF463,4,Loaded,25.4,1,0.0577,0,0,0
26,AF223935,32,AF463,4,Loaded,19.4,0,0.1027,0,0,0
27,EK621893,34,EK702,4,Loaded,7.6,2,0.0361,0,0,1
28,EK308893,35,EK702,4,Loaded,21.2,1,0.1240,0,0,0
29,EK542754,36,EK702,4,Loaded,16.7,3,0.1956,0,0,0
30,EK545752,36,EK702,4,Loaded,9.4,1,0.0440,0,0,0
31,EK474316,37,EK702,4,Loaded,12.8,1,0.0062,0,0,0
32,EK351778,37,EK702,4,Loaded,31.7,3,0.3460,0,0,0
33,EK475144,38,EK702,4,Loaded,13.2,1,0.0314,0,0,0
34,EK296762,38,EK702,4,Loaded,8.8,2,0.1603,0,0,0
35,EK958435,39,EK702,7,Held,13.5,3,0.4757,1,0,0
36,EK197577,39,EK702,7,Held,27.8,3,0.9900,1,0,0
37,EK133896,40,EK702,7,Held,25.4,3,0.4710,1,0,0
38,EK597205,42,EK702,4,Loaded,12.5,3,0.0398,0,0,0
39,EK829320,44,EK702,4,Loaded,15.8,3,0.0032,0,0,0
40,EK377122,46,EK702,4,Loaded,10.3,0,0.2315,0,0,1
41,EK212702,46,EK702,4,Loaded,30.4,2,0.0449,0,0,1
42,EK906068,47,EK702,4,Loaded,27.9,3,0.0285,0,0,0
43,EK758248,47,EK702,4,Loaded,29.0,0,0.3648,0,0,0
44,EK980603,48,EK702,4,Loaded,30.5,1,0.0833,0,0,0
45,TK476676,54,TK742,4,Loaded,19.7,3,0.0293,0,0,0
46,TK922093,55,TK742,7,Held,30.9,0,0.6003,1,0,0
47,TK560304,55,TK742,4,Loaded,17.5,1,0.0238,0,0,0
48,TK390075,57,TK742,7,Held,27.5,0,0.6457,1,0,0
49,TK216282,57,TK742,4,Loaded,24.6,1,0.2774,0,0,0
50,TK701832,58,TK742,4,Loaded,20.8,1,0.0228,0,0,0
51,TK251760,60,TK742,4,Loaded,18.8,1,0.1387,0,0,1
52,TK465140,60,TK742,4,Loaded,25.8,3,0.0094,0,0,1
53,TK540170,61,TK742,7,Held,23.9,1,0.9589,1,0,0
54,TK189411,62,TK742,7,Held,6.8,0,0.4358,1,0,0
55,TK965403,64,TK742,7,Held,9.9,2,0.4543,1,0,0
56,TK632965,64,TK742,4,Loaded,25.7,0,0.0333,0,0,0
57,MK241531,65,MK048,4,Loaded,28.8,3,0.0471,0,0,0
58,MK353614,67,MK048,4,Loaded,24.1,0,0.1388,0,0,0
59,MK899785,67,MK048,4,Loaded,8.1,2,0.0279,0,0,0
60,MK948754,68,MK048,4,Loaded,30.8,2,0.0509,0,0,0
61,MK106038,68,MK048,4,Loaded,6.9,3,0.0070,0,0,0
62,MK108681,70,MK048,7,Held,21.3,1,0.7031,1,0,0
63,MK594186,70,MK048,4,Loaded,7.4,0,0.0014,0,0,0
64,MK762859,71,MK048,4,Loaded,24.0,3,0.2143,0,0,0
65,MK953673,72,MK048,4,Loaded,22.9,2,0.0186,0,0,0
66,MK823950,72,MK048,4,Loaded,6.9,0,0.0723,0,0,0
67,MK415337,74,MK048,4,Loaded,29.6,0,0.0618,0,0,0
68,MK938338,74,MK048,4,Loaded,11.0,2,0.0280,0,0,0
69,MK837443,76,MK048,4,Loaded,16.1,0,0.0229,0,0,0
70,MK286883,78,MK048,7,Held,15.3,0,0.4503,1,0,0
71,MK667701,78,MK048,4,Loaded,31.5,1,0.0366,0,0,0
72,MK555631,80,MK202,4,Loaded,21.2,3,0.3545,0,0,0
73,MK810669,80,MK202,4,Loaded,23.6,0,0.0093,0,0,0
74,UU875343,85,UU975,7,Held,15.2,3,0.4444,1,0,0
75,UU366665,86,UU975,4,Loaded,28.9,3,0.0291,0,0,0
76,UU614593,86,UU975,4,Loaded,9.2,3,0.0468,0,0,0
77,UU806581,89,UU975,4,Loaded,17.6,1,0.0166,0,0,0
78,UU972266,91,UU975,4,Loaded,16.7,2,0.0714,0,0,0
79,UU798209,91,UU975,4,Loaded,17.7,0,0.0060,0,0,0
80,MK125847,92,MK042,4,Loaded,9.8,3,0.0892,0,0,0
81,MK836736,92,MK042,4,Loaded,31.5,1,0.1278,0,0,0
82,MK150058,93,MK042,7,Held,27.7,3,0.8788,1,0,1
83,MK168538,93,MK042,4,Loaded,26.9,1,0.2460,0,0,1
84,MK621398,94,MK042,4,Loaded,23.4,3,0.0216,0,0,0
85,MK922251,94,MK042,7,Held,23.2,2,0.4035,1,0,0
86,MK904867,96,MK042,4,Loaded,23.3,2,0.2066,0,0,0
87,MK702108,97,MK042,4,Loaded,19.6,0,0.0128,0,0,0
88,MK513143,98,MK042,4,Loaded,19.2,3,0.3709,0,0,0
89,MK867149,99,MK042,4,Loaded,10.1,0,0.0609,0,0,0
90,MK656103,100,MK042,4,Loaded,13.0,1,0.0105,0,0,1
91,MK268637,101,MK042,4,Loaded,6.9,3,0.0112,0,0,0
92,MK989085,103,MK042,4,Loaded,8.9,3,0.0114,0,0,0
93,4Z347869,104,4Z253,4,Loaded,28.7,0,0.0465,0,0,0
94,4Z230588,104,4Z253,7,Held,23.9,2,0.5353,1,0,0
95,4Z410477,105,4Z253,4,Loaded,16.7,3,0.1235,0,0,0
96,4Z166804,106,4Z253,4,Loaded,11.2,2,0.1602,0,0,0
97,4Z353512,107,4Z253,4,Loaded,7.6,2,0.1112,0,0,0
98,4Z490895,107,4Z253,4,Loaded,11.1,2,0.0934,0,0,0
99,4Z448086,108,4Z253,4,Loaded,27.6,3,0.0211,0,0,0
100,4Z418531,108,4Z253,4,Loaded,15.5,2,0.1558,0,0,0
101,MK230446,109,MK204,4,Loaded,25.1,2,0.1227,0,0,0
102,MK109412,110,MK204,4,Loaded,13.7,0,0.0283,0,0,0
103,MK926864,110,MK204,7,Held,8.7,2,0.9361,1,0,0
104,MK379162,111,MK204,4,Loaded,23.3,2,0.0073,0,0,0
105,MK445098,111,MK204,7,Held,10.5,2,0.3826,1,0,0
106,MK334898,112,MK204,4,Loaded,12.3,1,0.0855,0,0,0
107,SS938944,113,SS911,7,Held,9.2,0,0.8058,1,0,0
108,SS271347,114,SS911,4,Loaded,8.2,3,0.1318,0,0,0
109,SS373654,114,SS911,4,Loaded,22.5,3,0.0072,0,0,0
110,SS926468,115,SS911,4,Loaded,17.4,1,0.0806,0,0,0
111,SS149831,115,SS911,4,Loaded,9.7,2,0.0849,0,0,0
112,SS348505,116,SS911,4,Loaded,30.1,3,0.1566,0,0,0
113,SS655276,116,SS911,4,Loaded,29.5,2,0.0251,0,0,0
114,SS235026,118,SS911,4,Loaded,19.1,0,0.0101,0,0,0
115,SS226616,120,SS911,4,Loaded,13.3,3,0.1032,0,0,1
116,SS531708,121,SS911,4,Loaded,31.4,0,0.0111,0,0,0
117,SS823059,122,SS911,4,Loaded,16.3,2,0.0697,0,0,0
118,SS514933,123,SS911,4,Loaded,17.1,1,0.0881,0,0,0
119,SS853553,124,SS911,4,Loaded,16.4,1,0.0642,0,0,1
120,SS155852,124,SS911,4,Loaded,25.9,1,0.0107,0,0,1
121,SS648600,126,SS911,4,Loaded,9.2,1,0.1314,0,0,0
122,SS141283,127,SS911,4,Loaded,7.3,2,0.2647,0,0,0
123,SS697227,127,SS911,4,Loaded,24.3,3,0.1019,0,0,0
124,SS506826,128,SS911,4,Loaded,28.0,1,0.1064,0,0,1
125,SS295362,128,SS911,4,Loaded,18.0,1,0.1923,0,0,1
126,KQ611319,129,KQ277,4,Loaded,29.7,0,0.0171,0,0,0
127,KQ747419,131,KQ277,4,Loaded,28.0,2,0.0048,0,0,0
128,KQ831207,133,KQ277,4,Loaded,11.6,2,0.0126,0,0,0
129,KQ396734,133,KQ277,4,Loaded,9.7,0,0.0557,0,0,0
130,KQ145106,134,KQ277,4,Loaded,14.6,0,0.0019,0,0,0
131,KQ770710,135,KQ277,4,Loaded,12.4,1,0.1500,0,0,1
132,KQ253315,136,KQ277,4,Loaded,22.5,2,0.2106,0,0,0
133,MK328380,138,MK052,4,Loaded,11.7,0,0.0173,0,0,0
134,MK136993,138,MK052,4,Loaded,23.1,2,0.0217,0,0,0
135,MK211675,139,MK052,7,Held,10.6,2,0.7366,1,0,0
136,MK947394,139,MK052,7,Held,16.7,3,0.9284,1,0,0
137,MK586485,140,MK052,4,Loaded,27.9,3,0.0955,0,0,1
138,MK541863,140,MK052,4,Loaded,12.5,1,0.0772,0,0,1
139,6E540120,143,6E066,4,Loaded,19.3,0,0.0333,0,0,0
140,6E585893,143,6E066,4,Loaded,22.6,0,0.1101,0,0,0
141,6E960523,144,6E066,4,Loaded,16.9,2,0.2245,0,0,0
142,6E422726,145,6E066,4,Loaded,15.8,1,0.0237,0,0,0
143,6E546586,146,6E066,7,Held,23.5,1,0.4595,1,0,0
144,6E294495,146,6E066,4,Loaded,14.4,0,0.0224,0,0,0
145,6E885508,147,6E066,4,Loaded,8.8,0,0.0633,0,0,0
146,6E488060,148,6E066,4,Loaded,14.8,2,0.0770,0,0,0
147,6E309893,148,6E066,4,Loaded,27.9,2,0.0151,0,0,0
148,6E312097,149,6E066,4,Loaded,31.5,2,0.2611,0,0,0
149,6E280686,149,6E066,4,Loaded,11.7,3,0.1301,0,0,0
150,6E535225,151,6E066,4,Loaded,7.5,1,0.0215,0,0,0
151,MK321793,153,MK206,4,Loaded,7.2,1,0.0764,0,0,1
152,MK325490,154,MK206,4,Loaded,26.5,2,0.0198,0,0,0
153,MK809711,154,MK206,4,Loaded,19.3,3,0.0116,0,0,0
154,MK783187,155,MK206,4,Loaded,25.4,0,0.0534,0,0,0
155,MD810309,157,MD732,4,Loaded,16.7,3,0.0133,0,0,0
156,MD889349,158,MD732,4,Loaded,24.5,1,0.0105,0,0,0
157,MD826510,158,MD732,4,Loaded,23.2,1,0.2466,0,0,0
158,MD598174,160,MD732,4,Loaded,21.0,0,0.0280,0,0,0
159,UU191760,164,UU977,4,Loaded,14.6,0,0.0417,0,0,0
160,UU528562,165,UU977,4,Loaded,12.8,0,0.1693,0,0,0
161,UU237510,165,UU977,4,Loaded,28.5,3,0.1879,0,0,0
162,UU946843,166,UU977,4,Loaded,29.5,3,0.0763,0,0,0
163,UU861141,167,UU977,7,Held,24.5,0,0.4988,1,0,0
164,UU704144,168,UU977,4,Loaded,11.6,2,0.0787,0,0,0
165,UU339146,168,UU977,4,Loaded,16.9,0,0.0097,0,0,0
166,UU792074,169,UU977,4,Loaded,8.8,2,0.0498,0,0,1
167,UU554356,169,UU977,4,Loaded,8.3,3,0.3244,0,0,1
168,UU476308,170,UU977,4,Loaded,30.9,2,0.1194,0,0,0
169,UU101379,170,UU977,4,Loaded,15.4,3,0.0466,0,0,0
170,UU432256,171,UU977,4,Loaded,17.3,1,0.0173,0,0,0
171,UU759707,171,UU977,4,Loaded,27.3,0,0.0747,0,0,0
172,UU264073,172,UU977,4,Loaded,18.2,2,0.1310,0,0,0
173,HM740483,173,HM063,4,Loaded,26.6,2,0.0255,0,0,0
174,HM255393,177,HM063,4,Loaded,18.1,2,0.1838,0,0,0
175,HM215116,177,HM063,7,Held,26.6,2,0.4197,1,0,0
176,HM233246,180,HM063,4,Loaded,19.6,3,0.0097,0,0,0
177,HM971619,181,HM063,4,Loaded,7.4,3,0.0075,0,0,1
178,HM505470,181,HM063,4,Loaded,17.9,0,0.1281,0,0,1
179,HM919476,182,HM063,4,Loaded,8.7,2,0.0303,0,0,0
180,MK423114,183,MK050,4,Loaded,30.5,0,0.2353,0,0,0
181,MK467250,184,MK050,4,Loaded,26.1,3,0.0611,0,0,1
182,MK762717,185,MK050,4,Loaded,16.1,0,0.0044,0,0,0
183,MK750107,186,MK050,4,Loaded,24.8,3,0.1167,0,0,0
184,MK892831,186,MK050,4,Loaded,24.6,2,0.0059,0,0,0
185,MK707938,187,MK050,4,Loaded,15.1,0,0.0145,0,0,0
186,MK123318,188,MK050,4,Loaded,19.4,3,0.0306,0,0,0
187,MK150621,189,MK050,4,Loaded,21.9,0,0.0491,0,0,1
188,MK337364,190,MK050,4,Loaded,11.0,0,0.0581,0,0,0
189,MK750481,192,MK050,4,Loaded,25.8,0,0.0106,0,0,0
190,MK559150,192,MK050,4,Loaded,23.5,0,0.0064,0,0,0
191,MK496486,193,MK050,4,Loaded,21.8,1,0.0658,0,0,0
