id,flight_no,airline,type,reg,airport,arrival,sched,est,delay,state,stand,gate,belt,pax_cap,pax,checked_in,boarded,bags,bags_loaded,delay_risk
1,MK015,MK,359,3B-NWN,LHR,1,345,345,0,0,A1,1,5,326,260,0,0,315,0,0.0000
2,MK014,MK,359,3B-NWN,LHR,0,1305,1305,0,0,R1,21,-,326,241,241,241,274,12,0.8512
3,AF464,AF,77W,F-GPPU,CDG,1,375,398,23,14,A2,2,5,354,289,0,0,385,0,0.0000
4,AF463,AF,77W,F-GPPU,CDG,0,1355,1355,0,0,A2,2,-,354,306,306,306,257,13,0.7908
5,EK701,EK,77W,A6-EFI,DXB,1,405,405,0,0,A3,3,1,354,280,0,0,167,0,0.0000
6,EK702,EK,77W,A6-EFI,DXB,0,700,741,41,14,A1,1,-,354,341,341,341,196,15,0.5774
7,TK741,TK,789,TC-LPL,IST,1,430,430,0,0,A1,1,3,290,193,0,0,109,0,0.0000
8,TK742,TK,789,TC-LPL,IST,0,1310,1310,0,0,R2,22,-,290,237,237,237,198,7,0.8537
9,MK047,MK,332,3B-NFW,JNB,1,455,455,0,0,A4,4,3,247,212,0,0,189,0,0.0000
10,MK048,MK,332,3B-NFW,JNB,0,580,599,19,14,A4,4,-,247,219,219,219,292,13,0.6669
11,MK201,MK,AT7,3B-NJA,RRG,1,470,480,10,0,A8,8,3,72,67,0,0,83,0,0.0000
12,MK202,MK,AT7,3B-NJA,RRG,0,555,572,17,14,A8,8,-,72,69,69,69,46,2,0.7036
13,UU974,UU,320,F-OSYH,RUN,1,495,495,0,0,A6,6,2,180,131,0,0,106,0,0.0000
14,UU975,UU,320,F-OSYH,RUN,0,580,619,39,14,A6,6,-,180,116,116,116,107,5,0.6370
15,MK041,MK,339,3B-NRU,BOM,1,510,552,42,14,A1,1,2,288,186,0,0,165,0,0.0000
16,MK042,MK,339,3B-NRU,BOM,0,1250,1250,0,0,A3,3,-,288,180,180,180,220,11,0.8369
17,4Z252,4Z,E90,ZS-TMU,JNB,1,540,540,0,0,A7,7,5,104,81,0,0,96,0,0.0000
18,4Z253,4Z,E90,ZS-TMU,JNB,0,625,625,0,0,A7,7,-,104,71,71,71,77,7,0.6291
19,MK203,MK,AT7,3B-NUR,RRG,1,585,585,0,0,A5,5,5,72,67,0,0,89,0,0.0000
20,MK204,MK,AT7,3B-NUR,RRG,0,670,670,0,0,A5,5,-,72,51,51,51,33,4,0.6243
21,SS910,SS,332,F-GNIU,ORY,1,600,600,0,0,A2,2,3,247,169,0,0,201,0,0.0000
22,SS911,SS,332,F-GNIU,ORY,0,1330,1330,0,0,R10,30,-,247,238,238,238,283,18,0.8566
23,KQ276,KQ,738,5Y-KZW,NBO,1,625,625,0,0,A8,8,4,189,180,0,0,109,0,0.0000
24,KQ277,KQ,738,5Y-KZW,NBO,0,715,715,0,0,A8,8,-,189,135,135,135,177,7,0.6144
25,MK051,MK,AT7,3B-NBO,TNR,1,640,640,0,0,A6,6,3,72,66,0,0,76,0,0.0000
26,MK052,MK,AT7,3B-NBO,TNR,0,735,814,79,14,A2,2,-,72,64,64,64,71,4,0.6188
27,6E065,6E,32N,VT-IHN,BOM,1,660,660,0,0,A7,7,3,186,162,0,0,144,0,0.0000
28,6E066,6E,32N,VT-IHN,BOM,0,750,763,13,0,A7,7,-,186,159,159,159,172,11,0.6229
29,MK205,MK,AT7,3B-NUL,RRG,1,700,700,0,0,A5,5,3,72,51,0,0,36,0,0.0000
30,MK206,MK,AT7,3B-NUL,RRG,0,785,873,88,14,A3,3,-,72,54,54,54,40,4,0.6220
31,MD731,MD,AT7,5R-IGC,TNR,1,720,732,12,0,A6,6,5,72,61,0,0,44,0,0.0000
32,MD732,MD,AT7,5R-IGC,TNR,0,810,810,0,0,A6,6,-,72,57,57,57,72,4,0.6667
33,UU976,UU,320,F-OSBD,RUN,1,745,745,0,0,A8,8,5,180,154,0,0,198,0,0.0000
34,UU977,UU,320,F-OSBD,RUN,0,830,830,0,0,A8,8,-,180,169,169,169,217,13,0.6354
35,HM062,HM,320,S7-ASX,SEZ,1,770,865,95,14,A7,7,2,180,147,0,0,163,0,0.0000
36,HM063,HM,320,S7-ASX,SEZ,0,860,865,5,0,A5,5,-,180,148,148,148,83,6,0.6215
